ACCOUNT_NUMBER,SERVICE_ADDRESS_ID
2339731,4679793
2675542,6986955
1083273,6693349
1546190,1239910
1325388,3398213
1435504,6187725
1214655,3983035
428583,2706609
257379,6657024
634123,4926807
457311,3407996
133914,3522950
2362536,3392725
1503921,3963274
2092562,6827166
1728359,1184940
958999,5581981
2002082,1921389
1646036,1146760
2036357,5188071
1079682,4578392
1513645,4701222
1301977,1171630
808843,5547273
753081,818598
1512826,4061172
1059150,3829365
449527,3143206
617722,4075317
285322,4595355
820249,5080241
2721866,4208958
1424522,1166399
2232514,2425299
192098,1993434
2206799,5701992
665054,1948583
463664,3019609
1917004,3370562
1382570,3415798
2380035,6363279
1931550,3557059
2471478,3395734
2392692,4404621
1291464,3007052
585823,3419945
2524786,1398798
703615,2506056
1534839,5135930
681145,3634859
933432,4803151
845905,884822
1865071,827086
148897,3129742
328524,800478
44164,2722852
2206134,3979663
911540,823849
1688482,3525693
2647868,6917754
1096288,3963186
551678,4698326
999439,1185605
1847745,1202587
372218,2622525
2595897,4591156
208324,1056527
2152346,4044314
1262806,629296
1415294,1067630
2662310,1026130
501950,1498732
2256511,6179504
2541991,802121
295857,1594593
2395856,898208
2355662,3243690
2564915,1009894
330165,243211
2027335,605446
772647,2564705
740314,1793763
2271204,6044335
2439118,6480737
2306776,6138292
2204792,371606
2476859,997521
2410040,1954667
1385806,160211
433543,1043628
1824216,1641086
1803549,5629883
2388573,6481117
741715,4285538
1663565,2455727
1441510,4782966
2133993,532980
724366,5919182
1637855,4469461
1232427,4647410
2219632,5901730
1477144,3690405
1285216,4052184
566253,6674693
1533016,5755045
1138635,1052040
1796661,4206910
192511,636503
890864,2990154
1396914,177888
1966385,4998658
597034,2493064
533013,4786754
339177,1451330
2513483,6640339
2662220,1007936
2439461,6291339
175891,2346969
429573,923086
1099804,890613
2589846,6797703
306656,3016560
357744,2913573
2043122,1058901
791561,1400389
441926,6573661
1726128,2301841
2468797,6528100
813076,4310514
175297,2730381
774927,2282996
686871,1413393
2469805,5628569
334061,1988962
1092875,4536466
465697,2544912
418030,3684009
2301752,6127383
962135,387134
504789,3113330
793348,5580062
1295993,2765015
1857347,5548772
1351307,3404932
974751,176732
923331,6766350
996533,5846822
2064241,6793349
2582500,6654505
1925906,4749016
1871492,4684544
2574584,6760424
821189,4830398
793637,3589175
1126947,2733419
1079141,3718196
1812501,596729
1247196,2961686
2681857,3321736
2092268,6870490
1710476,970071
651707,5864592
368024,1195937
537199,989661
6016524,6477330
1959136,4979893
965320,1348583
2538401,2308375
986322,2311170
1522537,225936
1560452,1010182
2678289,6531324
795211,976324
648025,529958
1696462,1417997
1188914,3889701
1084407,6991087
630281,3800850
2358204,5742069
1340869,2319326
1425047,1405264
2625630,3849223
2586966,6792887
1520327,4310997
890663,3300296
794016,218521
446752,1923827
2299426,909006
1893295,2227681
1534228,1131003
1537761,1866575
1888329,2275827
1707869,4581053
934699,3699259
2087932,2962298
859157,6684101
2410111,4271963
2221073,6909305
2261282,4627230
782358,3191778
2598009,6811775
2178566,1714048
1497516,1814661
2303077,4477079
1523948,3850037
1424428,4223450
2217927,1837013
2009083,3038025
954366,5805829
1506651,4293191
2106906,1328594
401427,4393879
129836,2274736
2262598,2470990
607913,3437161
2268741,2527310
2474978,3900306
1162037,1939451
1199801,5182498
2437446,4516299
2237528,3621899
1494378,4279710
2045078,5045174
123783,2547096
2634895,6884597
1285459,4052164
2413896,7078748
2302641,6130040
1276122,4043534
2161673,4285415
1670211,5831977
2543237,6696168
2211686,1862974
2315031,750328
1013015,1166378
2281970,4104165
1333196,1151416
245008,2270689
1052018,3255286
2659275,1822593
364469,3774256
1979438,850088
2012120,5451472
2561891,6402123
2643267,4239944
439789,1946392
659220,4066698
1490123,4275390
1056679,177218
2363418,3609304
1256098,4021508
2582809,6683980
2027105,1041106
1451238,3798864
246135,828218
1757566,4484566
1425028,4527968
414689,3244270
1335142,5006280
1445945,4201824
2578302,1160997
6062150,2581994
353769,1888440
2114838,4803087
2548516,698434
2144833,1947529
611942,530991
2651591,4707252
560447,4301402
1105793,4631586
1166888,585942
874845,4962695
62147,4297660
2202174,4695808
263404,1125757
2160404,5124465
336756,4547446
802216,4105779
2079494,3691416
1007909,3777964
2211110,4172995
514632,1928316
1758879,4624975
2007222,5107343
2483287,1514621
1460722,3017468
2275046,3605695
1167060,152617
1845682,4602712
841931,1488860
1210883,3332100
497125,486851
1844609,4775754
1789284,4669341
2313428,6157601
1469452,1235271
1024984,1879304
595729,818479
2715225,7100640
1375269,4555625
2472014,4395738
185716,2765295
2439605,6481325
2040034,2280502
2631457,3816933
302697,4597705
934655,1731045
1884705,2404265
2065928,773471
578555,866952
2463695,1190483
2768798,1960590
2091244,5378598
343570,3984971
1029370,250875
1120096,2533275
808382,1392397
1921122,391496
963563,3005207
1771016,4904366
2323500,4674096
1913675,660175
1306411,856573
2407235,1369797
1079217,3061986
307454,2032059
2094843,2472989
492517,4643503
1153067,3721525
2429705,4117979
1001359,3282490
2738389,5640683
1603551,4393716
1705019,4384172
322303,5478427
2436359,6671085
2618212,6010878
2606562,6885379
1699466,3519245
1973282,1195575
1997496,2715603
997628,3822625
2236839,5114963
899275,1966709
338400,1890976
1607875,4433269
1330760,210521
522638,367881
1188079,3808691
939303,312765
2594546,6804592
1521453,1196933
2661085,6947236
378828,2584356
406920,4772437
997052,2231668
665892,4114722
2581471,2512248
2737344,4280584
2066000,4370284
783338,3194157
1432077,4624945
1855262,6135354
1749452,1252153
1706069,1849896
1184419,1901389
1017318,2589400
815457,2488499
558780,2305710
360629,1772403
531632,824781
1845818,1900758
2087702,5367632
573849,6511162
2281359,937385
2728911,6601254
2120231,4134921
2192219,5753033
2568030,6739993
433864,4236953
1520063,7023430
1377749,4360650
997062,3764517
1615545,4442847
2238048,5119683
1984015,3976531
555337,1436764
1626748,4457524
1667726,4253193
789557,3534068
1937776,970731
2152145,6727694
2508878,907656
1350364,3257662
2640547,6898855
1444805,4225429
1085791,3230133
1461899,3624415
923132,3688261
1394310,672992
1351926,3205466
1135472,1149934
852410,1086774
501354,2160581
834666,3795346
729475,1593236
1286116,2235797
742695,451430
1711351,1015953
1037258,2783444
2736451,987267
226755,2867092
1556649,4364502
594902,4333824
131345,2605024
903890,3646171
2472578,1699137
2600175,1252653
2520263,6653618
1077479,546509
2533345,6678602
1956389,826671
2205867,1949655
1646672,4183753
424044,153926
1942097,2556051
235895,2031770
1835724,4757625
2115734,4990850
2652736,6931151
1393063,5834578
542576,3705912
49239,6838690
2652985,168572
1237604,934897
735073,1753018
1979534,6017981
1382398,1296060
